theta1,theta2,model,amplitude,shift
0.000000,0.000000,exact,0.3166417198,0.0001458588
0.000000,0.000000,exact,0.3618762319,0.0001904854
0.000000,0.000000,exact,0.4071107440,0.0002410485
0.000000,0.000000,exact,0.4523452561,0.0002975431
0.000000,0.000000,exact,0.4975797682,0.0003599635
0.000000,0.000000,exact,0.5428142803,0.0004283034
0.000000,0.000000,exact,0.5880487924,0.0005025558
0.000000,0.000000,exact,0.6332833045,0.0005827134
0.000000,0.000000,exact,0.6785178166,0.0006687682
0.000000,0.000000,exact,0.7237523287,0.0007607114
0.000000,0.000000,exact,0.7689868408,0.0008585339
0.000000,0.000000,exact,0.8142213529,0.0009622260
0.000000,0.000000,exact,0.8594558650,0.0010717772
0.000000,0.000000,exact,0.9046903771,0.0011871767
0.000000,0.000000,exact,0.9499248892,0.0013084130
0.000000,0.000000,exact,0.9951594013,0.0014354741
0.000000,0.000000,exact,1.0403939134,0.0015683475
0.000000,0.000000,exact,1.0856284255,0.0017070199
0.000000,0.000000,exact,1.1308629376,0.0018514779
0.000000,0.000000,exact,1.1760974497,0.0020017071
0.000000,0.000000,exact,1.2213319618,0.0021576928
0.000000,0.000000,exact,1.2665664739,0.0023194199
0.000000,0.000000,exact,1.3118009860,0.0024868725
0.000000,0.000000,exact,1.3570354981,0.0026600344
0.000000,0.000000,exact,1.4022700102,0.0028388888
0.000000,0.000000,exact,1.4475045223,0.0030234184
0.000000,0.000000,exact,1.4927390344,0.0032136054
0.000000,0.000000,exact,1.5379735465,0.0034094316
0.000000,0.000000,exact,1.5832080586,0.0036108782
0.000000,0.000000,exact,1.6284425707,0.0038179260
0.000000,0.000000,exact,1.6736770828,0.0040305553
0.000000,0.000000,exact,1.7189115949,0.0042487461
0.000000,0.000000,exact,1.7641461070,0.0044724776
0.000000,0.000000,exact,1.8093806191,0.0047017289
0.000000,0.000000,exact,1.8546151312,0.0049364785
0.000000,0.000000,exact,1.8998496433,0.0051767044
0.000000,0.000000,exact,1.9450841554,0.0054223844
0.000000,0.000000,exact,1.9903186675,0.0056734957
0.000000,0.000000,exact,2.0355531796,0.0059300151
0.000000,0.000000,exact,2.0807876917,0.0061919192
0.000000,0.000000,exact,2.1260222038,0.0064591838
0.000000,0.000000,exact,2.1712567159,0.0067317848
0.000000,0.000000,exact,2.2164912280,0.0070096974
0.000000,0.000000,exact,2.2617257401,0.0072928966
0.000000,0.000000,exact,2.3069602522,0.0075813569
0.000000,0.000000,exact,2.3521947643,0.0078750525
0.000000,0.000000,exact,2.3974292764,0.0081739572
0.000000,0.000000,exact,2.4426637885,0.0084780447
0.000000,0.000000,exact,2.4878983005,0.0087872880
