eta,Re,rho,omega,T
-1.730105980460e-03,53.57457569,2.095848381361e+00,17.2081023971,0.3651294700
-1.742319711606e-03,53.60965492,2.105848373902e+00,17.2108963855,0.3650701954
-1.754502971032e-03,53.64469243,2.115848366481e+00,17.2136994700,0.3650107473
-1.766653953806e-03,53.67968277,2.125848359098e+00,17.2165117479,0.3649511236
-1.778770799001e-03,53.71462028,2.135848351757e+00,17.2193333151,0.3648913226
-1.790851585829e-03,53.74949913,2.145848344460e+00,17.2221642662,0.3648313423
-1.802894329461e-03,53.78431326,2.155848337209e+00,17.2250046929,0.3647711812
-1.814896976510e-03,53.81905637,2.165848330006e+00,17.2278546840,0.3647108373
-1.826857400134e-03,53.85372194,2.175848322853e+00,17.2307143236,0.3646503093
-1.838773394736e-03,53.88830318,2.185848315754e+00,17.2335836909,0.3645895955
-1.850642670220e-03,53.92279302,2.195848308710e+00,17.2364628586,0.3645286947
-1.862462845759e-03,53.95718408,2.205848301724e+00,17.2393518918,0.3644676057
-1.874231443033e-03,53.99146868,2.215848294799e+00,17.2422508465,0.3644063274
-1.885945878884e-03,54.02563879,2.225848287938e+00,17.2451597685,0.3643448592
-1.897603457332e-03,54.05968602,2.235848281143e+00,17.2480786912,0.3642832004
-1.909201360890e-03,54.09360158,2.245848274417e+00,17.2510076345,0.3642213510
-1.920736641109e-03,54.12737624,2.255848267764e+00,17.2539466023,0.3641593110
-1.932206208272e-03,54.16100034,2.265848261186e+00,17.2568955802,0.3640970810
-1.943606820161e-03,54.19446372,2.275848254688e+00,17.2598545339,0.3640346618
-1.954935069784e-03,54.22775568,2.285848248271e+00,17.2628234056,0.3639720548
-1.966187371977e-03,54.26086496,2.295848241941e+00,17.2658021118,0.3639092622
-1.977359948741e-03,54.29377967,2.305848235700e+00,17.2687905399,0.3638462863
-1.988448813191e-03,54.32648728,2.315848229552e+00,17.2717885446,0.3637831306
-1.999449751972e-03,54.35897451,2.325848223501e+00,17.2747959439,0.3637197989
-2.010358305957e-03,54.39122730,2.335848217551e+00,17.2778125153,0.3636562963
-2.021169749064e-03,54.42323075,2.345848211707e+00,17.2808379907,0.3635926285
-2.031879064952e-03,54.45496905,2.355848205972e+00,17.2838720513,0.3635288024
-2.042480921639e-03,54.48642535,2.365848200352e+00,17.2869143215,0.3634648261
-2.052969642271e-03,54.51758176,2.375848194852e+00,17.2899643633,0.3634007089
-2.063339175383e-03,54.54841918,2.385848189476e+00,17.2930216685,0.3633364618
-2.073583059570e-03,54.57891721,2.395848184229e+00,17.2960856509,0.3632720972
-2.083694385673e-03,54.60905404,2.405848179117e+00,17.2991556383,0.3632076292
-2.093665754673e-03,54.63880635,2.415848174146e+00,17.3022308620,0.3631430743
-2.103489231047e-03,54.66814910,2.425848169321e+00,17.3053104464,0.3630784508
-2.113156291020e-03,54.69705541,2.435848164649e+00,17.3083933972,0.3630137797
-2.122657765116e-03,54.72549640,2.445848160136e+00,17.3114785880,0.3629490846
-2.131983774282e-03,54.75344094,2.455848155787e+00,17.3145647454,0.3628843924
-2.141123658825e-03,54.78085548,2.465848151611e+00,17.3176504324,0.3628197331
-2.150065899253e-03,54.80770378,2.475848147613e+00,17.3207340302,0.3627551405
-2.158798028039e-03,54.83394664,2.485848143801e+00,17.3238137174,0.3626906529
-2.167306531160e-03,54.85954162,2.495848140182e+00,17.3268874470,0.3626263128
-2.175576738188e-03,54.88444268,2.505848136763e+00,17.3299529203,0.3625621683
-2.183592699485e-03,54.90859981,2.515848133551e+00,17.3330075587,0.3624982731
-2.191337048976e-03,54.93195860,2.525848130553e+00,17.3360484705,0.3624346873
-2.198790850741e-03,54.95445981,2.535848127777e+00,17.3390724157,0.3623714785
-2.205933427539e-03,54.97603881,2.545848125227e+00,17.3420757643,0.3623087220
-2.212742169208e-03,54.99662502,2.555848122911e+00,17.3450544519,0.3622465023
-2.219192318705e-03,55.01614125,2.565848120832e+00,17.3480039284,0.3621849138
